Parameter,Type,Min,Max,Default,Example,Description
End_Year,float,1900,2200,2200,[example](../json/campaign-referencetrackingeventcoordinatortrackingconfig-end-year.json),The final date at which this set of targeted coverages should be applied (expiration).
Intervention_Config,json object,NA,NA,NA,[example](../json/campaign-referencetrackingeventcoordinatortrackingconfig-intervention-config.json),The nested JSON of the actual intervention to be distributed by this event coordinator.
Node_Property_Restrictions,array of json objects,NA,NA,NA,[example](../json/campaign-referencetrackingeventcoordinatortrackingconfig-node-property-restrictions.json),"A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that nodes must have to be targeted by the intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>You can specify AND and OR combinations of key:value pairs with this parameter."
Property_Restrictions,array of json objects,,,[],[example](../json/campaign-referencetrackingeventcoordinatortrackingconfig-property-restrictions.json),"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator."
Property_Restrictions_Within_Node,array of json objects,NA,NA,NA,[example](../json/campaign-referencetrackingeventcoordinatortrackingconfig-property-restrictions-within-node.json),"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>This parameter allows you to specify AND and OR combinations of key:value pairs. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both. "
Target_Age_Max,float,0,9.3228e+35,9.3228E+35,[example](../json/campaign-referencetrackingeventcoordinatortrackingconfig-target-age-max.json),"The upper end of ages targeted for an intervention, in years."
Target_Age_Min,float,0,9.3228E+35,0,[example](../json/campaign-referencetrackingeventcoordinatortrackingconfig-target-age-min.json),"The lower end of ages targeted for an intervention, in years."
Target_Demographic,enum,NA,NA,Everyone,[example](../json/campaign-referencetrackingeventcoordinatortrackingconfig-target-demographic.json),The target demographic group. Possible values are:<br>* Everyone<br>* ExplicitAgeRanges<br>* ExplicitAgeRangesAndGender<br>* ExplicitGender<br>* ExplicitDiseaseState
Target_Gender,enum,NA,NA,All,[example](../json/campaign-referencetrackingeventcoordinatortrackingconfig-target-gender.json),Specifies the gender restriction for the intervention. Possible values are:<br>* Male<br>* Female<br>* All
Target_Residents_Only,boolean,0,1,0,[example](../json/campaign-referencetrackingeventcoordinatortrackingconfig-target-residents-only.json),"When set to true (1), the intervention is only distributed to individuals that began the simulation in the node (i.e. those that claim the node as their residence)."
Targeting_Config,json object,NA,NA,NA,[example](../json/campaign-referencetrackingeventcoordinatortrackingconfig-targeting-config.json),Be more selective of individuals by using the [Targeting_Config classes](parameter-campaign-targeting-config.md).
Time_Value_Map,json object,NA,NA,NA,[example](../json/campaign-referencetrackingeventcoordinatortrackingconfig-time-value-map.json),"The years (times) and matching values of coverages. It is a dictionary of arrays, one of **Times** and one for **Values**, which allows for a time-variable probability that can take on any shape over time. The **Times** must be monotonically increasing. The model uses linear interpolation for times not explicitly defined; times beyond the maximum retain the last value."
Tracking_Config,json object,NA,NA,NA,[example](../json/campaign-referencetrackingeventcoordinatortrackingconfig-tracking-config.json),"Defines the attribute to be tracked within the targeted group; the intervention will be distributed to people without the attribute, if coverage is below the target level the time of polling."
Update_Period,float,1,3650,365,[example](../json/campaign-referencetrackingeventcoordinatortrackingconfig-update-period.json),The time between distribution updates.
