Parameter,Type,Min,Max,Default,Example,Description
Actual_NodeIntervention_Config,json object,NA,NA,NA,[example](../json/campaign-nlhtivnode-actual-nodeintervention-config.json),The configuration of the actual node-level intervention sought. This parameter selects a class for the intervention and configures the parameters specific for that intervention class.
Blackout_Event_Trigger,string,NA,NA,"""",[example](../json/campaign-nlhtivnode-blackout-event-trigger.json),The node event to broadcast if an intervention cannot be distributed due to the **Blackout_Period**. Custom events can be added; currently the only built-in value is SheddingComplete.
Blackout_On_First_Occurrence,boolean,0,1,0,[example](../json/campaign-nlhtivnode-blackout-on-first-occurrence.json),"If set to true (1), nodes enter the blackout period after the first occurrence of a node event in the **Trigger_Condition_List**."
Blackout_Period,float,0,3.40E+38,0,[example](../json/campaign-nlhtivnode-blackout-period.json),"The time in days after the initial intervention distribution to wait before distributing the intervention again. If the intervention is not distributable due to the blackout period, it broadcasts the user-defined **Blackout_Event_Trigger**."
Disqualifying_Properties,array of strings,NA,NA,[],[example](../json/campaign-nlhtivnode-disqualifying-properties.json),A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). Generally used to stop this intervention immediately based on some other event. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.
Dont_Allow_Duplicates,boolean,0,1,0,[example](../json/campaign-nlhtivnode-dont-allow-duplicates.json),"If a node's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Duration,float,-1,3.40E+38,-1,[example](../json/campaign-nlhtivnode-duration.json),The number of days to continue this intervention. A value of -1 keeps the intervention running indefinitely.
Intervention_Name,string,NA,NA,NLHTIVNode,[example](../json/campaign-nlhtivnode-intervention-name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
New_Property_Value,string,NA,NA,"""""",[example](../json/campaign-nlhtivnode-new-property-value.json),An optional **NodeProperty** key:value pair that will be assigned when the intervention is first updated or applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.
Node_Property_Restrictions,json object,NA,NA,NA,[example](../json/campaign-nlhtivnode-node-property-restrictions.json),"A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that are required for nodes to be targeted by the intevention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information."
Trigger_Condition_List,array of strings,NA,NA,[ ],[example](../json/campaign-nlhtivnode-trigger-condition-list.json),A list of node events that tigger **NLHTIVNode** to distribute the intervention defined in **Actual_NodeIntervention_Config**. Currently the only built-in value is SheddingComplete. Custom events may be defined in **Custom_Node_Events** in the simulation configuration file.
