Parameter,Type,Min,Max,Default,Example,Description
Acquire_Config,json object,NA,NA,NA,[example](../json/campaign-multieffectboostervaccine-acquire-config.json),The configuration for multi-effect vaccine acquisition. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).
Boost_Acquire,float,0,1,0,[example](../json/campaign-multieffectboostervaccine-boost-acquire.json),"Specifies the boosting effect on acquisition immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it."
Boost_Mortality,float,0,1,0,[example](../json/campaign-multieffectboostervaccine-boost-mortality.json),"Specifies the boosting effect on mortality immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it."
Boost_Threshold_Acquire,float,0,1,0,[example](../json/campaign-multieffectboostervaccine-boost-threshold-acquire.json),Specifies how much acquisition immunity is required before the vaccine changes from a prime to a boost.
Boost_Threshold_Mortality,float,0,1,0,[example](../json/campaign-multieffectboostervaccine-boost-threshold-mortality.json),Specifies how much mortality immunity is required before the vaccine changes from a prime to a boost.
Boost_Threshold_Transmit,float,0,1,0,[example](../json/campaign-multieffectboostervaccine-boost-threshold-transmit.json),Specifies how much transmission immunity is required before the vaccine changes from a prime to a boost.
Boost_Transmit,float,0,1,0,[example](../json/campaign-multieffectboostervaccine-boost-transmit.json),"Specifies the boosting effect on transmission immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it."
Cost_To_Consumer,float,0,999999,10,[example](../json/campaign-multieffectboostervaccine-cost-to-consumer.json),The unit cost per vaccine (unamortized).
Disqualifying_Properties,array of strings,NA,NA,[],[example](../json/campaign-multieffectboostervaccine-disqualifying-properties.json),"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,[example](../json/campaign-multieffectboostervaccine-dont-allow-duplicates.json),"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Intervention_Name,string,NA,NA,MultiEffectBoosterVaccine,[example](../json/campaign-multieffectboostervaccine-intervention-name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
Mortality_Config,json object,NA,NA,NA,[example](../json/campaign-multieffectboostervaccine-mortality-config.json),The configuration for multi-effect vaccine mortality. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).
New_Property_Value,string,NA,NA,"""""",[example](../json/campaign-multieffectboostervaccine-new-property-value.json),"An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. "
Prime_Acquire,float,0,1,0,[example](../json/campaign-multieffectboostervaccine-prime-acquire.json),Specifies the priming effect on acquisition immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.
Prime_Mortality,float,0,1,0,[example](../json/campaign-multieffectboostervaccine-prime-mortality.json),Specifies the priming effect on mortality immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.
Prime_Transmit,float,0,1,0,[example](../json/campaign-multieffectboostervaccine-prime-transmit.json),Specifies the priming effect on transmission immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.
Transmit_Config,json object,NA,NA,NA,[example](../json/campaign-multieffectboostervaccine-transmit-config.json),The configuration for multi-effect vaccine transmission. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).
Vaccine_Take,float,0,1,1,[example](../json/campaign-multieffectboostervaccine-vaccine-take.json),"The rate at which delivered vaccines will successfully stimulate an immune response and achieve the desired efficacy. For example, if it is set to 0.9, there will be a 90 percent chance that the vaccine will start with the specified efficacy, and a 10 percent chance that it will have no efficacy at all."
