Parameter,Type,Min,Max,Default,Example,Description
Cost_To_Consumer,float,0,999999,0,[example](../json/campaign-mosquitorelease-cost-to-consumer.json),The cost of each mosquito release.
Disqualifying_Properties,array of strings,NA,NA,[],[example](../json/campaign-mosquitorelease-disqualifying-properties.json),"A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,bool,NA,NA,0,[example](../json/campaign-mosquitorelease-dont-allow-duplicates.json),"If set to true (1), does not allow any new interventions with matching **Intervention_Name** parameter value to be distributed to the node."
Intervention_Name,string,NA,NA,MosquitoRelease,[example](../json/campaign-mosquitorelease-intervention-name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
New_Property_Value,string,NA,NA,"""""",[example](../json/campaign-mosquitorelease-new-property-value.json),An optional **NodeProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.
Released_Ratio,float,0,3.40E+038,0,[example](../json/campaign-mosquitorelease-released-ratio.json),"The number of released mosquitoes is proportional to the mosquito population from the previous timestep, specifically considering mosquitoes of the same gender as those being released. This approach is used when on Released_Type is set to RATIO."
Released_Genome,array of strings,NA,NA,[],[example](../json/campaign-mosquitorelease-released-genome.json),This defines the alleles of the genome of the vectors to be released. It must define all of the alleles including the gender gene. '*' is not allowed. See **Vector_Species_Params** for more information.
Released_Mate_Genome,array of string arrays,NA,NA,[],[example](../json/campaign-mosquitorelease-released-mate-genome.json),"Optional parameter which defines the alleles of the genome of the mate for pre-mated female releases. The **Released_Mate_Genome** must be male and **Released_Genome** must be female. It must define all of the alleles including the gender gene. `*` is not allowed. When this parameter is defined, the released female vectors will be fully gestated and ready to lay eggs, which will be the product of **Released_Genome** and **Released_Mate_Genome**."
Released_Infectious,float,0,1,0,[example](../json/campaign-mosquitorelease-released-infectious.json),The fraction of vectors released that are to be infectious. You can only use this feature when **Malaria_Model** is NOT set to MALARIA_MECHANISTIC_MODEL_WITH_PARASITE_GENETICS.
Released_Microsporidia_Strain,string,NA,NA,"""""",[example](../json/campaign-mosquitorelease-released-microsporidia-strain.json),"The name of the microsporidia strain for the released mosquitoes. The strain name must match a strain defined in **Vector_Species_Params**, **Microsporidia** for the species being released. An empty string indicates no microsporidia infection."
Released_Number,integer,1,100000000.0,10000,[example](../json/campaign-mosquitorelease-released-number.json),The number of mosquitoes released in the intervention.
Released_Species,string,NA,NA,NA,[example](../json/campaign-mosquitorelease-released-species.json),"The name of the released mosquito species, such as *arabiensis*. The simulation configuration parameter, **Vector_Species_Params**, needs to contain that specific mosquito species."
Released_Type,enum,NA,NA,FIXED_NUMBER,[example](../json/campaign-mosquitorelease-released-type.json),"Specifies the number of mosquitoes to release. Possible values are FRACTION and FIXED_NUMBER. When set to FRACTION, this specifies the fraction of the current population to release. When set to FIXED_NUMBER, specifies an exact count of mosquitoes to release."
Released_Wolbachia,enum,NA,NA,WOLBACHIA_FREE,[example](../json/campaign-mosquitorelease-released-wolbachia.json),The Wolbachia type of released mosquitoes. Possible values are:<br>* WOLBACHIA_FREE<br>* VECTOR_WOLBACHIA_A<br>* VECTOR_WOLBACHIA_B<br>* VECTOR_WOLBACHIA_AB
