Parameter,Type,Min,Max,Default,Example,Description
Boost_Acquire,float,0,1,0,[example](../json/campaign-individualimmunitychanger-boost-acquire.json),"Specifies the boosting effect on acquisition immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it."
Boost_Mortality,float,0,1,0,[example](../json/campaign-individualimmunitychanger-boost-mortality.json),"Specifies the boosting effect on mortality immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it."
Boost_Threshold_Acquire,float,0,1,0,[example](../json/campaign-individualimmunitychanger-boost-threshold-acquire.json),Specifies how much acquisition immunity is required before the vaccine changes from a prime to a boost.
Boost_Threshold_Mortality,float,0,1,0,[example](../json/campaign-individualimmunitychanger-boost-threshold-mortality.json),Specifies how much mortality immunity is required before the vaccine changes from a prime to a boost.
Boost_Threshold_Transmit,float,0,1,0,[example](../json/campaign-individualimmunitychanger-boost-threshold-transmit.json),Specifies how much transmission immunity is required before the vaccine changes from a prime to a boost.
Boost_Transmit,float,0,1,0,[example](../json/campaign-individualimmunitychanger-boost-transmit.json),"Specifies the boosting effect on transmission immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it."
Cost_To_Consumer,float,0,999999,1,[example](../json/campaign-individualimmunitychanger-cost-to-consumer.json),The unit cost per vaccine (unamortized).
Prime_Acquire,float,0,1,0,[example](../json/campaign-individualimmunitychanger-prime-acquire.json),Specifies the priming effect on acquisition immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.
Prime_Mortality,float,0,1,0,[example](../json/campaign-individualimmunitychanger-prime-mortality.json),Specifies the priming effect on mortality immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.
Prime_Transmit,float,0,1,0,[example](../json/campaign-individualimmunitychanger-prime-transmit.json),Specifies the priming effect on transmission immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.
